EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:19:14	0.0000	0.8894	0.4826	0.5293	0.4811	0.5041	0.3724
2	16:25:15	0.0000	0.5025	0.4198	0.6338	0.5652	0.5976	0.4854
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:33:42	0.0000	0.9366	0.4768	0.5806	0.5162	0.5465	0.4294
2	16:39:48	0.0000	0.4886	0.4052	0.6580	0.5722	0.6121	0.5005
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:54:06	0.0000	0.9171	0.4920	0.6008	0.4865	0.5377	0.4105
2	17:00:09	0.0000	0.5045	0.4290	0.6346	0.5614	0.5958	0.4795
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:18:54	0.0000	0.8788	0.4809	0.5962	0.5011	0.5445	0.4222
2	17:24:58	0.0000	0.4897	0.4039	0.6625	0.5754	0.6159	0.5057
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	10:04:19	0.0000	0.8879	0.4722	0.5920	0.5167	0.5518	0.4310
2	10:10:28	0.0000	0.4886	0.3994	0.6564	0.5867	0.6196	0.5096
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	10:27:18	0.0000	0.8837	0.4920	0.5390	0.4693	0.5017	0.3663
2	10:33:28	0.0000	0.4909	0.4094	0.6733	0.5873	0.6273	0.5103
