PARAMETERS: 
 
labelset: distant 
split: train 
lambda: 0 
k: 3 
fine-tune: False 
 
 
CLS: 
 
Run 1: 
 
File: ./results/distant_cls_1.json 
 
F1: 0.6042005515875822 
 
              precision    recall  f1-score   support

         LOC       0.79      0.62      0.70      2239
        MISC       0.73      0.15      0.25      1205
         ORG       0.77      0.46      0.57      2342
         PER       0.61      0.71      0.65      2295

   micro avg       0.70      0.53      0.60      8081
   macro avg       0.73      0.49      0.55      8081
weighted avg       0.73      0.53      0.58      8081
 
Relabeling rate: 0.016406261526431543 
 
 
SUM: 
 
Run 1: 
 
File: ./results/distant_sum_1.json 
 
F1: 0.6023619263135562 
 
              precision    recall  f1-score   support

         LOC       0.81      0.63      0.71      2239
        MISC       0.73      0.14      0.24      1205
         ORG       0.79      0.45      0.57      2342
         PER       0.59      0.72      0.65      2295

   micro avg       0.70      0.53      0.60      8081
   macro avg       0.73      0.48      0.54      8081
weighted avg       0.73      0.53      0.58      8081
 
Relabeling rate: 0.01584561589872968 
 
 
QUALITATIVE RELABELING EVALUATION: 
 
Token                Clean                Original             CLS                  SUM                  
 
MILAN                B-LOC                B-LOC                B-PER                B-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Argentine            B-MISC               O                    O                    O                    
striker              O                    O                    O                    O                    
Gabriel              B-PER                B-PER                B-PER                B-PER                
Batistuta            I-PER                O                    O                    O                    
gave                 O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
the                  O                    O                    O                    O                    
perfect              O                    O                    O                    O                    
70th                 O                    O                    O                    O                    
birthday             O                    O                    O                    O                    
present              O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Sunday               O                    O                    O                    O                    
with                 O                    O                    O                    O                    
two                  O                    O                    O                    O                    
goals                O                    O                    O                    O                    
that                 O                    O                    O                    O                    
gave                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Italian              B-MISC               O                    O                    O                    
Cup                  I-MISC               O                    O                    O                    
winners              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
2-1                  O                    O                    O                    O                    
Supercup             B-MISC               B-MISC               B-ORG                B-MISC               
victory              O                    O                    O                    O                    
over                 O                    O                    O                    O                    
serie                B-MISC               O                    O                    O                    
A                    I-MISC               O                    O                    O                    
champions            O                    O                    O                    O                    
Milan                B-ORG                B-ORG                B-ORG                B-ORG                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
victory              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
coming               O                    O                    O                    O                    
on                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
eve                  O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
founding             O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Florence             B-LOC                B-LOC                B-ORG                B-ORG                
club                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
1926                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
also                 O                    O                    O                    O                    
marked               O                    O                    O                    O                    
the                  O                    O                    O                    O                    
first                O                    O                    O                    O                    
time                 O                    O                    O                    O                    
since                O                    O                    O                    O                    
the                  O                    O                    O                    O                    
pre-season           O                    O                    O                    O                    
trophy               O                    O                    O                    O                    
between              O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Cup                  B-MISC               B-MISC               B-MISC               B-MISC               
winners              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
league               O                    O                    O                    O                    
champions            O                    O                    O                    O                    
was                  O                    O                    O                    O                    
started              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
1988                 O                    O                    O                    O                    
that                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Cup                  B-MISC               B-MISC               B-MISC               B-MISC               
winners              O                    O                    O                    O                    
had                  O                    O                    O                    O                    
won                  O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Sweden               B-LOC                B-LOC                B-PER                B-LOC                
's                   O                    O                    O                    O                    
Stefan               B-PER                B-PER                B-PER                B-PER                
Schwarz              I-PER                I-PER                I-PER                I-PER                
picked               O                    O                    O                    O                    
him                  O                    O                    O                    O                    
out                  O                    O                    O                    O                    
with                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
lob                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
edge                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
box                  O                    O                    O                    O                    
and                  O                    O                    O                    O                    
Batistuta            B-PER                O                    O                    O                    
did                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
rest                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
chipping             O                    O                    O                    O                    
veteran              O                    O                    O                    O                    
defender             O                    O                    O                    O                    
Franco               B-PER                B-PER                B-PER                B-PER                
Baresi               I-PER                I-PER                I-PER                I-PER                
and                  O                    O                    O                    O                    
scoring              O                    O                    O                    O                    
at                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
near                 O                    O                    O                    O                    
post                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
French               B-MISC               O                    O                    O                    
international        O                    O                    O                    O                    
midfielder           O                    O                    O                    O                    
Marcel               B-PER                B-PER                B-ORG                B-PER                
Desailly             I-PER                O                    O                    O                    
fouled               O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Argentine            B-MISC               O                    O                    O                    
,                    O                    O                    O                    O                    
whose                O                    O                    O                    O                    
coach                O                    O                    O                    O                    
at                   O                    O                    O                    O                    
Boca                 B-ORG                B-ORG                B-PER                B-ORG                
Juniors              I-ORG                I-ORG                I-PER                I-ORG                
before               O                    O                    O                    O                    
he                   O                    O                    O                    O                    
joined               O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
in                   O                    O                    O                    O                    
1991                 O                    O                    O                    O                    
was                  O                    O                    O                    O                    
new                  O                    O                    O                    O                    
Milan                B-ORG                B-ORG                B-ORG                B-ORG                
coach                O                    O                    O                    O                    
Oscar                B-PER                B-PER                B-PER                B-PER                
Tabarez              I-PER                I-PER                I-PER                I-PER                
,                    O                    O                    O                    O                    
and                  O                    O                    O                    O                    
Batistuta            B-PER                O                    O                    O                    
rammed               O                    O                    O                    O                    
home                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
free                 O                    O                    O                    O                    
kick                 O                    O                    O                    O                    
from                 O                    O                    O                    O                    
30                   O                    O                    O                    O                    
metres               O                    O                    O                    O                    
out                  O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Milan                B-ORG                B-ORG                B-ORG                B-LOC                
's                   O                    O                    O                    O                    
player               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
year                 O                    O                    O                    O                    
George               B-PER                B-PER                B-PER                B-PER                
Weah                 I-PER                I-PER                I-PER                I-PER                
missed               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
good                 O                    O                    O                    O                    
first                O                    O                    O                    O                    
half                 O                    O                    O                    O                    
opportunity          O                    O                    O                    O                    
but                  O                    O                    O                    O                    
otherwise            O                    O                    O                    O                    
looked               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
little               O                    O                    O                    O                    
rusty                O                    O                    O                    O                    
while                O                    O                    O                    O                    
Italian              B-MISC               O                    O                    O                    
team                 O                    O                    O                    O                    
mate                 O                    O                    O                    O                    
Roberto              B-PER                B-PER                B-PER                B-PER                
Baggio               I-PER                I-PER                I-PER                I-PER                
did                  O                    O                    O                    O                    
not                  O                    O                    O                    O                    
play                 O                    O                    O                    O                    
due                  O                    O                    O                    O                    
