PARAMETERS: 
 
labelset: distant 
split: train 
lambda: 0 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/distant_cls_2.json 
 
F1: 0.6399830280743936 
 
              precision    recall  f1-score   support

         LOC       0.84      0.67      0.75      2239
        MISC       0.90      0.17      0.29      1205
         ORG       0.82      0.49      0.61      2342
         PER       0.63      0.73      0.68      2295

   micro avg       0.75      0.56      0.64      8081
   macro avg       0.80      0.51      0.58      8081
weighted avg       0.78      0.56      0.62      8081
 
Relabeling rate: 0.010180144292479931 
 
 
SUM: 
 
Run 1: 
 
File: ./results/distant_sum_2.json 
 
F1: 0.6535605685595078 
 
              precision    recall  f1-score   support

         LOC       0.85      0.71      0.77      2239
        MISC       0.89      0.18      0.30      1205
         ORG       0.84      0.48      0.61      2342
         PER       0.65      0.73      0.69      2295

   micro avg       0.76      0.57      0.65      8081
   macro avg       0.81      0.53      0.59      8081
weighted avg       0.80      0.57      0.63      8081
 
Relabeling rate: 0.007480192980126588 
 
 
QUALITATIVE RELABELING EVALUATION: 
 
Token                Clean                Original             CLS                  SUM                  
 
MILAN                B-LOC                B-LOC                B-PER                B-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
victory              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
coming               O                    O                    O                    O                    
on                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
eve                  O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
founding             O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Florence             B-LOC                B-LOC                B-ORG                B-ORG                
club                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
1926                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
also                 O                    O                    O                    O                    
marked               O                    O                    O                    O                    
the                  O                    O                    O                    O                    
first                O                    O                    O                    O                    
time                 O                    O                    O                    O                    
since                O                    O                    O                    O                    
the                  O                    O                    O                    O                    
pre-season           O                    O                    O                    O                    
trophy               O                    O                    O                    O                    
between              O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Cup                  B-MISC               B-MISC               B-MISC               B-MISC               
winners              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
league               O                    O                    O                    O                    
champions            O                    O                    O                    O                    
was                  O                    O                    O                    O                    
started              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
1988                 O                    O                    O                    O                    
that                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Cup                  B-MISC               B-MISC               B-MISC               B-MISC               
winners              O                    O                    O                    O                    
had                  O                    O                    O                    O                    
won                  O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
They                 O                    O                    O                    O                    
said                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
body                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
Amer                 B-PER                B-PER                B-LOC                B-PER                
Hishem               I-PER                O                    O                    O                    
Ali                  I-PER                B-PER                B-PER                B-PER                
Mohammed             I-PER                I-PER                I-PER                I-PER                
,                    O                    O                    O                    O                    
23                   O                    O                    O                    O                    
,                    O                    O                    O                    O                    
was                  O                    O                    O                    O                    
found                O                    O                    O                    O                    
in                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
pool                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
blood                O                    O                    O                    O                    
in                   O                    O                    O                    O                    
Sliema               B-LOC                B-LOC                B-LOC                B-LOC                
,                    O                    O                    O                    O                    
seven                O                    O                    O                    O                    
km                   O                    O                    O                    O                    
(                    O                    O                    O                    O                    
four                 O                    O                    O                    O                    
miles                O                    O                    O                    O                    
)                    O                    O                    O                    O                    
from                 O                    O                    O                    O                    
Valletta             B-LOC                B-LOC                B-LOC                B-LOC                
,                    O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Wednesday            O                    O                    O                    O                    
morning              O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
10.                  O                    O                    O                    O                    
Keiichi              B-PER                B-PER                B-PER                B-PER                
Kitigawa             I-PER                O                    O                    O                    
(                    O                    O                    O                    O                    
Japan                B-LOC                B-LOC                B-LOC                B-LOC                
)                    O                    O                    O                    O                    
Suzuki               B-ORG                B-ORG                B-ORG                B-PER                
38:42.333            O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
American             B-MISC               B-MISC               B-ORG                B-ORG                
League               I-MISC               I-MISC               I-ORG                I-ORG                

 
Token                Clean                Original             CLS                  SUM                  
 
in                   O                    O                    O                    O                    
their                O                    O                    O                    O                    
African              B-MISC               O                    O                    O                    
Nations              I-MISC               B-PER                B-LOC                B-LOC                
Cup                  I-MISC               O                    O                    O                    
preliminary          O                    O                    O                    O                    
round                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
second               O                    O                    O                    O                    
leg                  O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
ZURICH               B-LOC                B-ORG                B-PER                B-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
26-year-old          O                    O                    O                    O                    
Italian              B-MISC               O                    O                    O                    
surged               O                    O                    O                    O                    
past                 O                    O                    O                    O                    
compatriot           O                    O                    O                    O                    
Michele              B-PER                B-PER                B-PER                B-PER                
Bartoli              I-PER                I-PER                I-PER                I-PER                
and                  O                    O                    O                    O                    
last                 O                    O                    O                    O                    
year                 O                    O                    O                    O                    
's                   O                    O                    O                    O                    
winner               O                    O                    O                    O                    
and                  O                    O                    O                    O                    
defending            O                    O                    O                    O                    
World                B-MISC               O                    O                    O                    
Cup                  I-MISC               O                    O                    O                    
champion             O                    O                    O                    O                    
Johan                B-PER                B-PER                B-PER                B-PER                
Museeuw              I-PER                O                    O                    O                    
of                   O                    O                    O                    O                    
