PARAMETERS: 
 
labelset: llm 
split: train 
lambda: 0 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/llm_cls_5.json 
 
F1: 0.5274837828610447 
 
              precision    recall  f1-score   support

         LOC       0.55      0.68      0.60      2239
        MISC       0.09      0.17      0.11      1205
         ORG       0.48      0.41      0.44      2342
         PER       0.86      0.85      0.86      2295

   micro avg       0.49      0.57      0.53      8081
   macro avg       0.49      0.53      0.50      8081
weighted avg       0.55      0.57      0.56      8081
 
Relabeling rate: 0.026453621328139998 
 
 
SUM: 
 
Run 1: 
 
File: ./results/llm_sum_5.json 
 
F1: 0.5431888016387847 
 
              precision    recall  f1-score   support

         LOC       0.58      0.73      0.65      2239
        MISC       0.08      0.17      0.11      1205
         ORG       0.50      0.42      0.46      2342
         PER       0.88      0.84      0.86      2295

   micro avg       0.50      0.59      0.54      8081
   macro avg       0.51      0.54      0.52      8081
weighted avg       0.57      0.59      0.57      8081
 
Relabeling rate: 0.020507826908039317 
 
 
QUALITATIVE RELABELING EVALUATION: 
 
Token                Clean                Original             CLS                  SUM                  
 
Corporate            O                    B-MISC               B-ORG                B-ORG                
America              B-MISC               I-MISC               I-ORG                I-ORG                
taking               O                    O                    O                    O                    
new                  O                    O                    O                    O                    
view                 O                    O                    O                    O                    
on                   O                    O                    O                    O                    
compensation         O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
NEW                  B-LOC                B-LOC                B-LOC                B-ORG                
YORK                 I-LOC                I-LOC                I-LOC                I-ORG                
1996-08-23           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
But                  O                    B-MISC               B-MISC               B-MISC               
if                   O                    B-MISC               B-MISC               B-MISC               
you                  O                    O                    O                    O                    
're                  O                    O                    O                    O                    
not                  O                    B-MISC               B-MISC               B-MISC               
and                  O                    O                    O                    O                    
cannot               O                    B-MISC               B-MISC               B-MISC               
contribute           O                    B-MISC               B-MISC               B-MISC               
to                   O                    B-MISC               B-MISC               B-MISC               
your                 O                    B-MISC               B-MISC               B-MISC               
employer             O                    B-ORG                B-ORG                B-MISC               
's                   O                    O                    O                    O                    
goals                O                    B-MISC               B-MISC               B-MISC               
,                    O                    O                    O                    O                    
