PARAMETERS: 
 
labelset: weak 
split: train 
lambda: 0.33 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/weak_cls_4.json 
 
F1: 0.5925198059325678 
 
              precision    recall  f1-score   support

         LOC       0.58      0.83      0.68      2239
        MISC       0.70      0.45      0.55      1205
         ORG       0.37      0.32      0.34      2342
         PER       0.77      0.73      0.75      2295

   micro avg       0.59      0.60      0.59      8081
   macro avg       0.60      0.58      0.58      8081
weighted avg       0.59      0.60      0.58      8081
 
Relabeling rate: 0.034509213768276314 
 
 
SUM: 
 
Run 1: 
 
File: ./results/weak_sum_4.json 
 
F1: 0.5974742520843551 
 
              precision    recall  f1-score   support

         LOC       0.59      0.89      0.71      2239
        MISC       0.66      0.41      0.50      1205
         ORG       0.38      0.32      0.35      2342
         PER       0.78      0.72      0.75      2295

   micro avg       0.59      0.60      0.60      8081
   macro avg       0.60      0.58      0.58      8081
weighted avg       0.59      0.60      0.58      8081
 
Relabeling rate: 0.03266498472978352 
 
 
QUALITATIVE RELABELING EVALUATION: 
 
Token                Clean                Original             CLS                  SUM                  
 
NEW                  B-LOC                B-LOC                B-ORG                B-LOC                
YORK                 I-LOC                I-LOC                I-ORG                I-LOC                
1996-08-23           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Corporate            O                    B-ORG                O                    B-ORG                
America              B-MISC               B-LOC                O                    B-LOC                
is                   O                    O                    O                    O                    
planning             O                    O                    O                    O                    
major                O                    O                    O                    O                    
changes              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
employee             O                    O                    O                    O                    
compensation         O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
next                 O                    O                    O                    O                    
few                  O                    O                    O                    O                    
years                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
according            O                    O                    O                    O                    
to                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
recent               O                    O                    O                    O                    
study                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
What                 O                    O                    O                    O                    
it                   O                    O                    O                    O                    
comes                O                    O                    O                    O                    
down                 O                    O                    O                    O                    
to                   O                    O                    O                    O                    
is                   O                    O                    O                    O                    
this                 O                    O                    O                    O                    
:                    O                    O                    O                    O                    
If                   O                    O                    O                    O                    
you                  O                    B-PER                B-PER                B-PER                
're                  O                    O                    O                    O                    
highly               O                    O                    O                    O                    
skilled              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
you                  O                    B-PER                B-PER                O                    
'll                  O                    O                    O                    B-PER                
benefit              O                    O                    O                    O                    
nicely               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
But                  O                    B-ORG                B-ORG                B-ORG                
if                   O                    O                    O                    O                    
you                  O                    B-PER                B-PER                O                    
're                  O                    O                    O                    O                    
not                  O                    O                    O                    O                    
and                  O                    O                    O                    O                    
cannot               O                    O                    O                    O                    
contribute           O                    O                    O                    O                    
to                   O                    O                    O                    O                    
your                 O                    O                    O                    O                    
employer             O                    O                    O                    O                    
